episode,reward
0,-0.36
10,-0.32
20,-0.26
30,-0.28
40,-0.24
50,-0.32
60,-0.36
70,-0.22
80,-0.36
90,-0.22
100,-0.44
110,-0.38
120,-0.4
130,-0.26
140,-0.26
150,-0.36
160,-0.32
170,-0.32
180,-0.32
190,-0.36
200,-0.2
210,-0.2
220,-0.48
230,-0.36
240,-0.4
250,-0.24
260,-0.2
270,-0.26
280,-0.26
290,-0.38
300,-0.3
310,-0.04
320,-0.3
330,-0.26
340,-0.34
350,-0.26
360,-0.22
370,-0.36
380,-0.38
390,-0.4
400,-0.32
410,-0.44
420,-0.38
430,-0.28
440,-0.16
450,-0.18
460,-0.24
470,-0.34
480,-0.14
490,-0.26
500,-0.44
510,-0.4
520,-0.26
530,-0.28
540,-0.28
550,-0.44
560,-0.14
570,-0.14
580,-0.16
590,-0.32
600,-0.36
610,-0.4
620,-0.34
630,-0.2
640,-0.38
650,-0.38
660,-0.38
670,-0.3
680,-0.28
690,-0.5
700,-0.14
710,-0.22
720,-0.28
730,-0.42
740,-0.14
750,-0.34
760,-0.28
770,-0.38
780,-0.32
790,-0.44
800,-0.34
810,-0.14
820,-0.26
830,-0.32
840,-0.24
850,-0.4
860,-0.26
870,-0.24
880,-0.5
890,-0.28
900,-0.16
910,-0.34
920,-0.22
930,-0.34
940,-0.32
950,-0.26
960,-0.26
970,-0.34
980,-0.22
990,-0.34
