episode,reward
0,4.7025
100,4.5585
200,4.837
300,4.946
400,4.987
500,4.63
600,5.202
700,4.478
800,5.1975
900,4.916
1000,5.7115
1100,5.506
1200,5.527
1300,5.7715
1400,5.9675
1500,6.057
1600,6.06
1700,5.7395
1800,6.105
1900,6.095
2000,5.2645
2100,5.4335
2200,6.2745
2300,5.8345
2400,5.864
2500,6.656
2600,6.4375
2700,6.0285
2800,6.509
2900,6.279
3000,6.23
3100,6.616
3200,5.731
3300,6.072
3400,6.872
3500,6.857
3600,7.192
3700,6.5545
3800,7.068
3900,6.6625
4000,6.4185
4100,6.109
4200,6.152
4300,7.3605
4400,7.4765
4500,6.2995
4600,6.4655
4700,6.8875
4800,7.489
4900,6.809
