episode,reward
0,7.62
1,3.49
2,-0.05
3,5.87
4,2.11
5,5.61
6,6.44
7,6.95
8,4.13
9,4.89
10,7.69
11,5.58
12,5.37
13,3.36
14,2.53
15,7.53
16,6.36
17,6.91
18,4.9
19,3.59
20,2.54
21,4.72
22,6.95
23,2.72
24,6.88
25,1.6
26,3.07
27,4.26
28,3.21
29,4.05
30,4.07
31,3.25
32,4.98
33,6.12
34,3.67
35,4.12
36,3.99
37,2.91
38,5.64
39,3.12
40,4.84
41,5.83
42,4.75
43,4.99
44,5.5
45,4.51
46,5.3
47,2.01
48,5.61
49,3.07
50,6.75
51,5.1
52,2.14
53,3.52
54,4.5
55,5.55
56,6.78
57,3.75
58,2.89
59,3.71
60,5.34
61,4.82
62,2.79
63,4.94
64,4.72
65,3.33
66,6.06
67,1.52
68,2.31
69,7.9
70,3.64
71,4.86
72,6.93
73,7.35
74,2.53
75,4.4
76,5.17
77,6.69
78,3.34
79,4.87
80,1.69
81,4.19
82,4.73
83,6.68
84,3.03
85,2.51
86,3.82
87,5.31
88,3.34
89,4.79
90,2.49
91,3.66
92,4.93
93,5.67
94,3.83
95,3.74
96,4.91
97,5.44
98,6.02
99,5.29
