episode,reward
0,4.66
1,3.01
2,3.37
3,6.56
4,4.59
5,3.47
6,5.64
7,6.38
8,0.76
9,6.1
10,4.76
11,3.98
12,4.3
13,4.53
14,2.47
15,3.97
16,4.8
17,4.23
18,5.86
19,4.35
20,7.69
21,4.3
22,4.08
23,7.41
24,5.4
25,4.26
26,2.6
27,5.48
28,4.98
29,4.12
30,6.17
31,2.29
32,4.04
33,5.74
34,4.34
35,6.71
36,5.96
37,6.18
38,6.48
39,6.62
40,5.88
41,4.64
42,7.15
43,6.0
44,3.45
45,6.18
46,6.74
47,1.93
48,3.75
49,5.13
50,4.55
51,6.63
52,4.11
53,2.35
54,6.33
55,4.89
56,3.61
57,3.74
58,4.21
59,5.7
60,4.61
61,5.96
62,4.3
63,5.3
64,7.76
65,3.54
66,4.67
67,3.84
68,5.41
69,4.86
70,3.63
71,6.34
72,3.35
73,6.81
74,2.71
75,2.12
76,5.53
77,6.96
78,7.03
79,5.16
80,5.04
81,6.47
82,3.39
83,2.96
84,4.12
85,4.48
86,2.76
87,5.04
88,6.43
89,5.82
90,5.72
91,0.73
92,4.36
93,3.65
94,0.39
95,3.48
96,5.61
97,7.47
98,4.04
99,4.98
